Datum,Differenz in kWh,Kapazität in kWh,Laden/Einspeisen in kWh
2030-11-22 04:15:00,11944.827220171275,0.0,0.0
2030-11-22 04:30:00,12095.912851680781,0.0,0.0
2030-11-22 04:45:00,12306.505696593169,0.0,0.0
2030-11-22 05:00:00,12690.674366075607,0.0,0.0
2030-11-22 05:15:00,12724.837014140066,0.0,0.0
2030-11-22 05:30:00,13154.747999404357,0.0,0.0
2030-11-22 05:45:00,13826.260938329082,0.0,0.0
2030-11-22 06:00:00,14794.623765694701,0.0,0.0
2030-11-22 06:15:00,15367.119077759864,0.0,0.0
2030-11-22 06:30:00,15909.042356692331,0.0,0.0
2030-11-22 06:45:00,16428.811649118245,0.0,0.0
2030-11-22 07:00:00,16928.503535539185,0.0,0.0
2030-11-22 07:15:00,17148.943443480817,0.0,0.0
2030-11-22 07:30:00,17106.130905194164,0.0,0.0
2030-11-22 07:45:00,17231.76421503879,0.0,0.0
2030-11-22 08:00:00,17334.432728890428,0.0,0.0
2030-11-22 08:15:00,17142.821416053404,0.0,0.0
2030-11-22 08:30:00,16621.11103123631,0.0,0.0
2030-11-22 08:45:00,16134.117472533391,0.0,0.0
2030-11-22 09:00:00,15575.565357888705,0.0,0.0
2030-11-22 09:15:00,15032.244371233119,0.0,0.0
2030-11-22 09:30:00,14735.961512098122,0.0,0.0
2030-11-22 09:45:00,14400.17264846287,0.0,0.0
2030-11-22 10:00:00,13880.077432628494,0.0,0.0
2030-11-22 10:15:00,13419.088686194116,0.0,0.0
2030-11-22 10:30:00,13080.760367692721,0.0,0.0
2030-11-22 10:45:00,12899.524212780352,0.0,0.0
2030-11-22 11:00:00,12345.889545653614,0.0,0.0
2030-11-22 11:15:00,12439.82547448147,0.0,0.0
2030-11-22 11:30:00,12275.104432019225,0.0,0.0
2030-11-22 11:45:00,11948.273408456655,0.0,0.0
2030-11-22 12:00:00,11415.875431072007,0.0,0.0
2030-11-22 12:15:00,11032.626706816556,0.0,0.0
2030-11-22 12:30:00,11011.441824542897,0.0,0.0
2030-11-22 12:45:00,11237.998500482716,0.0,0.0
2030-11-22 13:00:00,11519.780080729384,0.0,0.0
2030-11-22 13:15:00,11680.364312633934,0.0,0.0
2030-11-22 13:30:00,12207.48482971808,0.0,0.0
2030-11-22 13:45:00,12381.542331309072,0.0,0.0
2030-11-22 14:00:00,12748.97528532077,0.0,0.0
2030-11-22 14:15:00,13172.385732099086,0.0,0.0
2030-11-22 14:30:00,13452.490603730406,0.0,0.0
2030-11-22 14:45:00,13661.262670302138,0.0,0.0
2030-11-22 15:00:00,14108.593621785492,0.0,0.0
2030-11-22 15:15:00,14366.369730464876,0.0,0.0
2030-11-22 15:30:00,14462.392657020502,0.0,0.0
2030-11-22 15:45:00,14381.792190030106,0.0,0.0
2030-11-22 16:00:00,14795.483155520835,0.0,0.0
2030-11-22 16:15:00,14764.29791716724,0.0,0.0
2030-11-22 16:30:00,14884.216615063706,0.0,0.0
2030-11-22 16:45:00,14926.188921531875,0.0,0.0
2030-11-22 17:00:00,14599.195866598939,0.0,0.0
2030-11-22 17:15:00,14306.53602173534,0.0,0.0
2030-11-22 17:30:00,13951.444429492307,0.0,0.0
2030-11-22 17:45:00,13472.946821064574,0.0,0.0
2030-11-22 18:00:00,12965.129255253707,0.0,0.0
2030-11-22 18:15:00,12431.977574628889,0.0,0.0
2030-11-22 18:30:00,11945.561819530136,0.0,0.0
2030-11-22 18:45:00,11362.623488726165,0.0,0.0
2030-11-22 19:00:00,10956.647216696148,0.0,0.0
2030-11-22 19:15:00,10365.404493776845,0.0,0.0
2030-11-22 19:30:00,9805.180496128225,0.0,0.0
2030-11-22 19:45:00,9075.278602704737,0.0,0.0
2030-11-22 20:00:00,8327.941882391127,0.0,0.0
2030-11-22 20:15:00,7717.398055082165,0.0,0.0
2030-11-22 20:30:00,6962.947941786644,0.0,0.0
2030-11-22 20:45:00,6129.790407800447,0.0,0.0
2030-11-22 21:00:00,5597.079583801551,0.0,0.0
2030-11-22 21:15:00,4812.541117909193,0.0,0.0
2030-11-22 21:30:00,4327.873011252355,0.0,0.0
2030-11-22 21:45:00,3947.923963177136,0.0,0.0
2030-11-22 22:00:00,4079.551092622285,0.0,0.0
2030-11-22 22:15:00,3408.3333905165327,0.0,0.0
2030-11-22 22:30:00,2792.646519692964,0.0,0.0
2030-11-22 22:45:00,2446.7162553883136,0.0,0.0
2030-11-22 23:00:00,1781.2740891545436,0.0,0.0
2030-11-22 23:15:00,1054.6290037853614,0.0,0.0
2030-11-22 23:30:00,415.5301462971802,0.0,0.0
2030-11-22 23:45:00,79.09420284153384,0.0,0.0
2030-11-23 00:00:00,-1081.3629807045108,1081.3629807045108,1081.3629807045108
2030-11-23 00:15:00,-1644.5394287218624,2725.902409426373,1644.5394287218624
2030-11-23 00:30:00,-1924.6715133762955,4650.573922802669,1924.6715133762955
2030-11-23 00:45:00,-2247.6585606739936,6898.232483476662,2247.6585606739936
2030-11-23 01:00:00,-2633.8228801360856,9532.055363612748,2633.8228801360856
2030-11-23 01:15:00,-3048.136000197519,12580.191363810267,3048.136000197519
2030-11-23 01:30:00,-3248.138100518285,15828.329464328552,3248.138100518285
2030-11-23 01:45:00,-3208.586866226382,19036.916330554934,3208.586866226382
2030-11-23 02:00:00,-3536.137461802071,22573.053792357005,3536.137461802071
2030-11-23 02:15:00,-3671.471552274961,26244.525344631966,3671.471552274961
2030-11-23 02:30:00,-3773.9561333792662,30018.481478011232,3773.9561333792662
2030-11-23 02:45:00,-3881.3459159793565,33899.82739399059,3881.3459159793565
2030-11-23 03:00:00,-4094.349740936377,37994.17713492697,4094.349740936377
2030-11-23 03:15:00,-4380.354003242319,42374.53113816929,4380.354003242319
2030-11-23 03:30:00,-4511.71992663974,46886.251064809025,4511.71992663974
2030-11-23 03:45:00,-4605.821609463503,51492.072674272524,4605.821609463503
2030-11-23 04:00:00,-4327.53765414283,55819.61032841535,4327.53765414283
2030-11-23 04:15:00,-4420.62207551246,56000.0,4420.62207551246
2030-11-23 04:30:00,-4336.789888826461,56000.0,0.0
2030-11-23 04:45:00,-4213.965787591369,56000.0,0.0
2030-11-23 05:00:00,-3661.5538955867196,56000.0,0.0
2030-11-23 05:15:00,-3450.6762956159146,56000.0,0.0
2030-11-23 05:30:00,-3251.356473330019,56000.0,0.0
2030-11-23 05:45:00,-2921.608826931373,56000.0,0.0
2030-11-23 06:00:00,-2653.479034235079,56000.0,0.0
2030-11-23 06:15:00,-2130.6341018949024,56000.0,0.0
2030-11-23 06:30:00,-1639.5044234921334,56000.0,0.0
2030-11-23 06:45:00,-1030.0219604912236,56000.0,0.0
2030-11-23 07:00:00,-230.46482043196374,56000.0,0.0
2030-11-23 07:15:00,6.877297403992998,55993.12270259601,-6.877297403992998
2030-11-23 07:30:00,44.781900628684525,55948.34080196732,-44.781900628684525
2030-11-23 07:45:00,-49.198004050809686,55997.53880601813,49.198004050809686
2030-11-23 08:00:00,68.99326226928315,55928.54554374884,-68.99326226928315
2030-11-23 08:15:00,218.94335142178898,55709.60219232705,-218.94335142178898
2030-11-23 08:30:00,-12.16716511192135,55721.76935743897,12.16716511192135
2030-11-23 08:45:00,-381.09202999379704,56000.0,381.09202999379704
2030-11-23 09:00:00,-1204.788670682974,56000.0,0.0
2030-11-23 09:15:00,-1621.5716874894206,56000.0,0.0
2030-11-23 09:30:00,-2045.1886444767915,56000.0,0.0
2030-11-23 09:45:00,-2275.1559637921127,56000.0,0.0
2030-11-23 10:00:00,-2702.831134382981,56000.0,0.0
2030-11-23 10:15:00,-3146.6159055369244,56000.0,0.0
2030-11-23 10:30:00,-3531.477724593693,56000.0,0.0
2030-11-23 10:45:00,-3968.638167732388,56000.0,0.0
2030-11-23 11:00:00,-4440.496582819258,56000.0,0.0
2030-11-23 11:15:00,-4485.480465057426,56000.0,0.0
2030-11-23 11:30:00,-4536.399060750722,56000.0,0.0
2030-11-23 11:45:00,-4771.997299828745,56000.0,0.0
2030-11-23 12:00:00,-4935.97456521443,56000.0,0.0
2030-11-23 12:15:00,-5186.233150129916,56000.0,0.0
2030-11-23 12:30:00,-5175.552416235518,56000.0,0.0
2030-11-23 12:45:00,-5012.536146290306,56000.0,0.0
2030-11-23 13:00:00,-4887.258316041549,56000.0,0.0
2030-11-23 13:15:00,-4981.431211104489,56000.0,0.0
2030-11-23 13:30:00,-4946.126483964126,56000.0,0.0
2030-11-23 13:45:00,-4926.458905681135,56000.0,0.0
2030-11-23 14:00:00,-4683.057356736572,56000.0,0.0
2030-11-23 14:15:00,-4410.588455237317,56000.0,0.0
2030-11-23 14:30:00,-4323.884900246176,56000.0,0.0
