,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Speicher + Erneuerbare in MWh
9991,2030-04-15 02:45:00,8046.286716032808,0.0,8046.286716032808
9992,2030-04-15 03:00:00,7891.926506401857,0.0,7891.926506401857
9993,2030-04-15 03:15:00,7655.719014800859,0.0,7655.719014800859
9994,2030-04-15 03:30:00,7669.579756364973,0.0,7669.579756364973
9995,2030-04-15 03:45:00,7899.856112476621,0.0,7899.856112476621
9996,2030-04-15 04:00:00,8040.234432481788,0.0,8040.234432481788
9997,2030-04-15 04:15:00,8322.432392457762,0.0,8322.432392457762
9998,2030-04-15 04:30:00,8449.662129366887,0.0,8449.662129366887
9999,2030-04-15 04:45:00,8537.088535509181,0.0,8537.088535509181
10000,2030-04-15 05:00:00,8619.729547788389,0.0,8619.729547788389
10001,2030-04-15 05:15:00,8494.68128639331,0.0,8494.68128639331
10002,2030-04-15 05:30:00,8485.124497207296,0.0,8485.124497207296
10003,2030-04-15 05:45:00,8623.588630412756,0.0,8623.588630412756
10004,2030-04-15 06:00:00,8863.905936968029,0.0,8863.905936968029
10005,2030-04-15 06:15:00,9121.220697436635,0.0,9121.220697436635
10006,2030-04-15 06:30:00,9198.316091858896,0.0,9198.316091858896
10007,2030-04-15 06:45:00,9814.404620553207,0.0,9814.404620553207
10008,2030-04-15 07:00:00,10398.259487235937,0.0,10398.259487235937
10009,2030-04-15 07:15:00,11162.64490140719,0.0,11162.64490140719
10010,2030-04-15 07:30:00,12219.31010704931,169.352518962256,12049.957588087054
10011,2030-04-15 07:45:00,12986.648604411734,1308.96599330987,11677.682611101864
10012,2030-04-15 08:00:00,14170.870385247337,2492.268313313689,11678.602071933648
10013,2030-04-15 08:15:00,15373.902839923492,3740.522595379294,11633.380244544198
10014,2030-04-15 08:30:00,16612.131715358264,5061.009665894755,11551.122049463509
10015,2030-04-15 08:45:00,18112.230186156,6126.080612572405,11986.149573583596
10016,2030-04-15 09:00:00,19595.689931335437,7043.94974240489,12551.740188930547
10017,2030-04-15 09:15:00,21078.962665912164,8469.911456000787,12609.051209911377
10018,2030-04-15 09:30:00,22714.041365773213,9696.143807435034,13017.89755833818
10019,2030-04-15 09:45:00,24128.123967124855,10989.150805485162,13138.973161639693
10020,2030-04-15 10:00:00,25418.691650782057,12209.186235374575,13209.505415407482
10021,2030-04-15 10:15:00,27020.45456901226,12749.73547015452,14270.719098857742
10022,2030-04-15 10:30:00,28378.075189173196,13485.976040006215,14892.099149166981
10023,2030-04-15 10:45:00,29856.506194637604,0.0,29856.506194637604
10024,2030-04-15 11:00:00,31026.577071630956,0.0,31026.577071630956
10025,2030-04-15 11:15:00,31736.635678458282,0.0,31736.635678458282
10026,2030-04-15 11:30:00,32628.321523986626,0.0,32628.321523986626
10027,2030-04-15 11:45:00,33153.68379705373,0.0,33153.68379705373
10028,2030-04-15 12:00:00,33856.970044328315,0.0,33856.970044328315
10029,2030-04-15 12:15:00,34195.79338036524,0.0,34195.79338036524
10030,2030-04-15 12:30:00,34520.39480208323,0.0,34520.39480208323
10031,2030-04-15 12:45:00,34661.840574948976,0.0,34661.840574948976
10032,2030-04-15 13:00:00,34525.3320976628,0.0,34525.3320976628
10033,2030-04-15 13:15:00,34302.06406894664,0.0,34302.06406894664
10034,2030-04-15 13:30:00,34389.061619562715,0.0,34389.061619562715
10035,2030-04-15 13:45:00,34363.24356442109,0.0,34363.24356442109
10036,2030-04-15 14:00:00,34468.102000991654,0.0,34468.102000991654
10037,2030-04-15 14:15:00,34374.25786602537,0.0,34374.25786602537
10038,2030-04-15 14:30:00,33944.045439628055,0.0,33944.045439628055
10039,2030-04-15 14:45:00,33435.585945721294,0.0,33435.585945721294
10040,2030-04-15 15:00:00,32594.528276860812,0.0,32594.528276860812
10041,2030-04-15 15:15:00,31994.90597840347,0.0,31994.90597840347
