,Datum,Produktion EE in MWh,Laden/Einspeisen in MWh,Flexipowerplant Einspeisung in MWh,EE + Speicher + Flexible in MWh
18282,2030-07-10 11:30:00,18423.833907202854,0.0,-2275.9171720492013,20699.751079252055
18283,2030-07-10 11:45:00,19087.788830199475,0.0,-1564.3152807433362,20652.10411094281
18284,2030-07-10 12:00:00,19773.830983545224,0.0,-873.8219878966083,20647.652971441832
18285,2030-07-10 12:15:00,20374.034840315566,0.0,-616.4686611122343,20990.5035014278
18286,2030-07-10 12:30:00,20785.869905778058,0.0,-672.1093158850381,21457.979221663096
18287,2030-07-10 12:45:00,21477.856083724728,67.77517630498915,0.0,21410.08090741974
18288,2030-07-10 13:00:00,21780.476402978296,242.93663531823768,0.0,21537.53976766006
18289,2030-07-10 13:15:00,21896.818658256,509.44040778933777,0.0,21387.378250466663
18290,2030-07-10 13:30:00,21927.783228503045,406.0052012168999,0.0,21521.778027286146
18291,2030-07-10 13:45:00,22371.581481308982,830.1628861212484,0.0,21541.418595187733
18292,2030-07-10 14:00:00,22568.209192677583,423.57126133538986,0.0,22144.637931342193
18293,2030-07-10 14:15:00,22688.150276653556,193.5809231859057,0.0,22494.56935346765
18294,2030-07-10 14:30:00,22474.793053709778,-156.16216717242787,0.0,22630.955220882206
18295,2030-07-10 14:45:00,22716.11748579445,-532.2151203906287,0.0,23248.33260618508
18296,2030-07-10 15:00:00,22352.45836571929,-906.3726456417317,0.0,23258.83101136102
18297,2030-07-10 15:15:00,22176.503766257403,-1078.7225580672202,-353.0878022454126,23608.314126570036
18298,2030-07-10 15:30:00,21866.362210416686,0.0,-2053.3284934182266,23919.690703834913
18299,2030-07-10 15:45:00,21372.98508484254,0.0,-2965.482965798903,24338.468050641444
18300,2030-07-10 16:00:00,20947.38257549845,0.0,-3777.04065732062,24724.42323281907
18301,2030-07-10 16:15:00,20208.392660671783,0.0,-4528.199298419317,24736.5919590911
18302,2030-07-10 16:30:00,19629.807032276876,0.0,-5680.628226179675,25310.43525845655
18303,2030-07-10 16:45:00,18573.68062599569,0.0,-6901.209661068187,25474.890287063878
18304,2030-07-10 17:00:00,17741.02678991786,0.0,-8377.093983330422,26118.120773248284
18305,2030-07-10 17:15:00,16809.255542794872,0.0,-9468.59992219825,26277.85546499312
18306,2030-07-10 17:30:00,15624.257128702264,0.0,-10416.106395021467,26040.363523723732
18307,2030-07-10 17:45:00,14286.721629257034,0.0,-11636.542694426022,25923.264323683055
18308,2030-07-10 18:00:00,13030.681339737483,0.0,-11750.0,24780.681339737483
18309,2030-07-10 18:15:00,11884.029338784374,0.0,-11750.0,23634.029338784374
18310,2030-07-10 18:30:00,10774.785757697595,0.0,-11750.0,22524.785757697595
18311,2030-07-10 18:45:00,9650.577486092869,0.0,-11750.0,21400.57748609287
18312,2030-07-10 19:00:00,8466.930594722844,0.0,-11750.0,20216.930594722842
18313,2030-07-10 19:15:00,7218.607444128042,0.0,-11750.0,18968.607444128043
18314,2030-07-10 19:30:00,6156.4208931663,0.0,-11750.0,17906.4208931663
18315,2030-07-10 19:45:00,5192.804626490046,0.0,-11750.0,16942.804626490048
18316,2030-07-10 20:00:00,4360.864335539274,0.0,-11750.0,16110.864335539274
18317,2030-07-10 20:15:00,3428.909400995488,0.0,-11750.0,15178.909400995488
18318,2030-07-10 20:30:00,2701.5955928338503,0.0,-11750.0,14451.59559283385
18319,2030-07-10 20:45:00,2134.0650580168644,0.0,-11750.0,13884.065058016864
18320,2030-07-10 21:00:00,1756.0745725900201,0.0,-11750.0,13506.07457259002
18321,2030-07-10 21:15:00,1567.9235186142662,0.0,-11750.0,13317.923518614267
18322,2030-07-10 21:30:00,1396.793515768802,0.0,-11750.0,13146.793515768803
18323,2030-07-10 21:45:00,1335.5186364475855,0.0,-11750.0,13085.518636447585
18324,2030-07-10 22:00:00,1333.3011320450396,0.0,-11750.0,13083.301132045039
18325,2030-07-10 22:15:00,1429.945122411396,0.0,-11750.0,13179.945122411396
18326,2030-07-10 22:30:00,1489.0594076803166,0.0,-11750.0,13239.059407680317
18327,2030-07-10 22:45:00,1516.7399370779951,0.0,-11750.0,13266.739937077995
18328,2030-07-10 23:00:00,1511.7182811108707,0.0,-11750.0,13261.71828111087
18329,2030-07-10 23:15:00,1643.1255907781133,0.0,-11750.0,13393.125590778112
18330,2030-07-10 23:30:00,1701.7469676361654,0.0,-11750.0,13451.746967636165
18331,2030-07-10 23:45:00,1668.428518775867,0.0,-11750.0,13418.428518775867
18332,2030-07-11 00:00:00,1725.8163447876518,0.0,-11750.0,13475.816344787652
18333,2030-07-11 00:15:00,1852.8718597733027,0.0,-11750.0,13602.871859773302
18334,2030-07-11 00:30:00,1966.2895820107017,0.0,-11750.0,13716.289582010702
18335,2030-07-11 00:45:00,1966.5362921799551,0.0,-11750.0,13716.536292179955
18336,2030-07-11 01:00:00,1926.0719050586981,0.0,-11750.0,13676.071905058698
18337,2030-07-11 01:15:00,1930.145086633535,0.0,-11750.0,13680.145086633534
18338,2030-07-11 01:30:00,1902.8856985294008,0.0,-11750.0,13652.8856985294
18339,2030-07-11 01:45:00,2005.1299128523656,0.0,-11750.0,13755.129912852366
18340,2030-07-11 02:00:00,2169.159346528604,0.0,-11750.0,13919.159346528604
18341,2030-07-11 02:15:00,2337.931724695765,0.0,-11642.42955553652,13980.361280232286
18342,2030-07-11 02:30:00,2443.3405885499333,0.0,-11414.94745723472,13858.288045784655
18343,2030-07-11 02:45:00,2617.0946803355628,0.0,-11403.334451201423,14020.429131536985
18344,2030-07-11 03:00:00,2751.1981670587556,0.0,-11348.75603681878,14099.954203877536
18345,2030-07-11 03:15:00,3003.1061677980797,0.0,-11114.088786094824,14117.194953892904
18346,2030-07-11 03:30:00,3199.4992109645527,0.0,-10938.18706116005,14137.686272124603
18347,2030-07-11 03:45:00,3330.2869283499444,0.0,-10812.582619102974,14142.869547452918
18348,2030-07-11 04:00:00,3440.381512617104,0.0,-10685.668276831759,14126.049789448862
18349,2030-07-11 04:15:00,3694.2943689010244,0.0,-10576.005168514206,14270.29953741523
18350,2030-07-11 04:30:00,3875.747710824252,0.0,-10572.985184053434,14448.732894877685
18351,2030-07-11 04:45:00,4019.857542842831,0.0,-10276.075261264017,14295.932804106847
18352,2030-07-11 05:00:00,4226.715169747752,0.0,-10083.469209558654,14310.184379306407
18353,2030-07-11 05:15:00,4485.161613355808,0.0,-9738.798428389444,14223.960041745253
18354,2030-07-11 05:30:00,4719.869080134626,0.0,-9449.956404935261,14169.825485069887
18355,2030-07-11 05:45:00,5047.497950260141,0.0,-9247.946020150832,14295.443970410972
18356,2030-07-11 06:00:00,5554.325523511868,0.0,-9560.958956594171,15115.284480106038
18357,2030-07-11 06:15:00,6051.480717963882,0.0,-9608.79377938978,15660.274497353661
18358,2030-07-11 06:30:00,6738.92884118889,0.0,-9722.160476710604,16461.089317899496
18359,2030-07-11 06:45:00,7401.353328215575,0.0,-9660.424826501292,17061.778154716867
18360,2030-07-11 07:00:00,8077.268431315086,0.0,-9629.486051510547,17706.754482825632
18361,2030-07-11 07:15:00,8688.225491149067,0.0,-9475.719250018554,18163.944741167623
18362,2030-07-11 07:30:00,9223.287658079393,0.0,-9127.655669030493,18350.943327109886
18363,2030-07-11 07:45:00,9644.02787354191,0.0,-8651.869926834654,18295.897800376566
18364,2030-07-11 08:00:00,10210.142526219392,0.0,-8207.237985792488,18417.380512011878
18365,2030-07-11 08:15:00,10799.896315204447,0.0,-7430.299027716001,18230.195342920448
18366,2030-07-11 08:30:00,11486.608532488066,0.0,-6649.713221148508,18136.321753636574
18367,2030-07-11 08:45:00,12269.21364024566,0.0,-5695.6122486555105,17964.82588890117
18368,2030-07-11 09:00:00,13123.554915035556,0.0,-4762.255874008697,17885.810789044255
18369,2030-07-11 09:15:00,14136.622649020852,0.0,-4173.6025654459445,18310.225214466795
18370,2030-07-11 09:30:00,15115.956343774913,0.0,-3586.784648828456,18702.74099260337
18371,2030-07-11 09:45:00,16133.715857735482,0.0,-2997.7151622834645,19131.431020018947
18372,2030-07-11 10:00:00,16976.025713771694,0.0,-2339.4500205430195,19315.475734314714
18373,2030-07-11 10:15:00,17676.45157770194,0.0,-1644.6274579216442,19321.079035623585
18374,2030-07-11 10:30:00,18432.038650768358,0.0,-1307.9069551033463,19739.945605871704
18375,2030-07-11 10:45:00,19002.60274735184,0.0,-984.0089912920375,19986.61173864388
18376,2030-07-11 11:00:00,19807.800685386646,0.0,-679.2951033876816,20487.095788774328
18377,2030-07-11 11:15:00,20570.352975267127,0.0,-360.44944708026014,20930.802422347388
18378,2030-07-11 11:30:00,21008.48301507447,0.0,-456.41040753974085,21464.893422614212
18379,2030-07-11 11:45:00,21418.24598830717,133.0893799165351,0.0,21285.156608390636
18380,2030-07-11 12:00:00,21934.661537371147,1074.9266888947095,0.0,20859.734848476437
18381,2030-07-11 12:15:00,22394.518265185234,1009.7571171623858,0.0,21384.761148022848
18382,2030-07-11 12:30:00,22483.61120434081,1117.1673876325258,0.0,21366.443816708284
18383,2030-07-11 12:45:00,22943.203154267318,1281.6804728783136,0.0,21661.522681389004
18384,2030-07-11 13:00:00,23762.164673901094,1864.7839402346872,0.0,21897.380733666407
18385,2030-07-11 13:15:00,23676.639173211115,2114.96175878376,0.0,21561.677414427355
18386,2030-07-11 13:30:00,23825.871624994263,2118.510464603496,0.0,21707.361160390767
18387,2030-07-11 13:45:00,23967.067918888548,1980.3560077052098,0.0,21986.711911183338
18388,2030-07-11 14:00:00,24472.448748406598,2167.080222974044,0.0,22305.368525432554
18389,2030-07-11 14:15:00,24647.494683711964,1772.9542494943744,0.0,22874.54043421759
18390,2030-07-11 14:30:00,24505.591024434267,1485.4231552724596,0.0,23020.167869161807
18391,2030-07-11 14:45:00,24166.468032554032,995.2662084984768,0.0,23171.201824055555
18392,2030-07-11 15:00:00,24292.124460949897,443.6299734351596,0.0,23848.494487514738
18393,2030-07-11 15:15:00,23851.364904767237,-518.4982028493614,0.0,24369.8631076166
18394,2030-07-11 15:30:00,23531.26432421307,-1311.4317153955308,0.0,24842.6960396086
18395,2030-07-11 15:45:00,22905.277815121633,-2122.196103746064,0.0,25027.473918867698
18396,2030-07-11 16:00:00,22319.59166252915,-3322.350944666712,0.0,25641.942607195862
18397,2030-07-11 16:15:00,21299.3565617655,-4562.955651118773,0.0,25862.312212884273
18398,2030-07-11 16:30:00,20362.08100751959,-5518.393906757436,0.0,25880.474914277027
18399,2030-07-11 16:45:00,19399.202313685484,-2203.76050295226,-4225.504282716349,25828.467099354093
18400,2030-07-11 17:00:00,18323.773801105384,0.0,-7864.729808686756,26188.50360979214
18401,2030-07-11 17:15:00,17085.01963364947,0.0,-8997.458111478241,26082.47774512771
18402,2030-07-11 17:30:00,15995.972462488742,0.0,-10360.779730785252,26356.752193273995
18403,2030-07-11 17:45:00,14854.894532456445,0.0,-11617.302550838038,26472.197083294483
18404,2030-07-11 18:00:00,13603.743193454888,0.0,-11750.0,25353.743193454888
18405,2030-07-11 18:15:00,12427.712278153482,0.0,-11750.0,24177.71227815348
18406,2030-07-11 18:30:00,11216.134856530814,0.0,-11750.0,22966.134856530814
18407,2030-07-11 18:45:00,10034.743919721735,0.0,-11750.0,21784.743919721735
18408,2030-07-11 19:00:00,8947.701263260928,0.0,-11750.0,20697.701263260926
18409,2030-07-11 19:15:00,7868.850251954258,0.0,-11750.0,19618.85025195426
18410,2030-07-11 19:30:00,6791.878302861121,0.0,-11750.0,18541.87830286112
18411,2030-07-11 19:45:00,5962.574035414104,0.0,-11750.0,17712.574035414105
18412,2030-07-11 20:00:00,5263.691368663988,0.0,-11750.0,17013.69136866399
18413,2030-07-11 20:15:00,4614.662641186676,0.0,-11750.0,16364.662641186676
18414,2030-07-11 20:30:00,4118.685058379581,0.0,-11750.0,15868.685058379582
18415,2030-07-11 20:45:00,3988.2606675583224,0.0,-11750.0,15738.260667558323
18416,2030-07-11 21:00:00,3990.2647953098613,0.0,-11750.0,15740.26479530986
18417,2030-07-11 21:15:00,4176.511987318074,0.0,-11750.0,15926.511987318074
18418,2030-07-11 21:30:00,4381.338773022796,0.0,-11750.0,16131.338773022795
18419,2030-07-11 21:45:00,4691.220798708621,0.0,-11750.0,16441.220798708622
